sr_no,digit_id,ir_no,reason
41,20260410172315-888,20/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
42,20260410125838-256,16/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
43,20260408131609-763,11/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
44,20260408132521-615,12/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
45,20260408133604-140,13/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
46,20260410133356-922,17/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
47,20260410134157-268,18/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
48,20260402185921-988,05/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
49,20260410125842-547,15/2026-27-GST,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
50,20260401132436-258,03/2026-27-GST,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
51,20260410134225-354,19/2026-27-GST,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
52,20260409175444-324,06/2026-27/GST,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
53,20260415124631-410,01/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
54,20260410170005-174,21/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
55,20260420131222-875,23/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
56,20260514185000-264,35/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
57,20260518152926-406,37/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
58,20260505180013-321,42/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
59,20260514132543-160,34/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
60,20260513135453-511,33/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
61,20260505173220-100,30/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
62,20260511115128-598,31/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
63,20260505181648-681,27/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
64,20260520145847-902,40/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
65,20260521163749-111,41/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
66,2026191191956-401,39/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
67,20260616125526-228,66/2026-27-GST,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
68,20260610153203-946,64/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
69,20260605143714-257,55/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
70,20260605174100-612,57/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
71,20260603191011-975,53/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
72,20260608142547-564,58/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
73,20260601181952-440,46/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
74,20260608162106-942,59/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
75,20260603175814-210,52/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
76,20260609121428-375,60/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
77,20260609124324-403,61/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
78,20260609152329-205,62/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
79,20260609144636-359,63/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
80,20260624131738-669,69/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
81,20260611173714-997,65/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
82,20260622175312-103,68/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
83,20260603123500-921,50/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
84,20260619131514-402,67/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
85,20260601161916-525,45/2025-26-GST,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
86,20260601161159-294,44/2025-26-GST,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
87,20260603172433-425,51/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
88,20260629145258-965,73/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
89,20260624141806-283,71/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
90,20260624140622-257,70/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
91,20260624141127-979,72/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
92,20260602133248-519,49/GST/2026-27,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
