sr_no,sheet,ir_no,digit_id,reason
35,IR Issued (2026-27),26/GST/2026-27,20260506122822-164,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
36,IR Issued (2026-27),25/GST/2026-27,20260507123025-905,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
37,IR Issued (2026-27),40/GST/2026-27,20260520145847-902,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
38,IR Issued (2026-27),41/GST/2026-27,20260521163749-111,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
39,IR Issued (2026-27),39/GST/2026-27,2026191191956-401,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
40,IR Issued (2026-27),66/2026-27-GST,20260616125526-228,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
41,IR Issued (2026-27),64/GST/2026-27,20260610153203-946,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
42,IR Issued (2026-27),55/GST/2026-27,20260605143714-257,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
43,IR Issued (2026-27),56/GST/2026-27,20260605163351-447,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
44,IR Issued (2026-27),57/GST/2026-27,20260605174100-612,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
45,IR Issued (2026-27),53/GST/2026-27,20260603191011-975,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
46,IR Issued (2026-27),58/GST/2026-27,20260608142547-564,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
47,IR Issued (2026-27),46/GST/2026-27,20260601181952-440,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
48,IR Issued (2026-27),59/GST/2026-27,20260608162106-942,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
49,IR Issued (2026-27),48/GST/2026-27,20260601184636-309,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
50,IR Issued (2026-27),52/GST/2026-27,20260603175814-210,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
51,IR Issued (2026-27),60/GST/2026-27,20260609121428-375,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
52,IR Issued (2026-27),47/GST/2026-27,20260601183434-314,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
53,IR Issued (2026-27),61/GST/2026-27,20260609124324-403,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
54,IR Issued (2026-27),62/GST/2026-27,20260609152329-205,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
55,IR Issued (2026-27),63/GST/2026-27,20260609144636-359,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
56,IR Issued (2026-27),69/GST/2026-27,20260624131738-669,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
57,IR Issued (2026-27),65/GST/2026-27,20260611173714-997,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
58,IR Issued (2026-27),68/GST/2026-27,20260622175312-103,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
59,IR Issued (2026-27),50/GST/2026-27,20260603123500-921,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
60,IR Issued (2026-27),67/GST/2026-27,20260619131514-402,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
61,IR Issued (2026-27),45/2025-26-GST,20260601161916-525,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
62,IR Issued (2026-27),44/2025-26-GST,20260601161159-294,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
63,IR Issued (2026-27),51/GST/2026-27,20260603172433-425,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
64,IR Issued (2026-27),73/GST/2026-27,20260629145258-965,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
65,IR Issued (2026-27),71/GST/2026-27,20260624141806-283,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
66,IR Issued (2026-27),70/GST/2026-27,20260624140622-257,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
67,IR Issued (2026-27),72/GST/2026-27,20260624141127-979,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
68,IR Issued (2026-27),49/GST/2026-27,20260602133248-519,"{'message': ""Could not find the 'status' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
