sr_no,file_no,reason
28,DGGI/INT/INTL/151/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
29,DGGI/INT/INTL/197/2026-Gr C-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
30,DGGI/INT/INTL/198/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
31,DGGI/INV/GST/302/2026-Gr A-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
32,DGGI/INV/GST/305/2026-Gr A-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
33,DGGI/INV/GST/138/2026-Gr A-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
34,DGGI/INV/GST/306/2026-Gr A-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
35,DGGI/INT/INTL/991/2025-Gr D-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
36,DGGI/INT/INTL/206/2026-Gr C-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
37,DGGI/INT/INTL/223/2026-Gr E-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
38,DGGI/INT/INTL/224/2026-Gr A-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
39,DGGI/INV/GST/345/2026-Gr E-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
40,DGGI/INT/INTL/233/2026-Gr C-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
41,DGGI/INT/INTL/235/2026-Gr B-O/o Pr. ADG-DGGI-ZU-Mumbai,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
42,DGGI/INT/INTL/239/2026-Gr E-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
43,DGGI/INT/INTL/227/2026-Gr C-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
44,DGGI/INT/INTL/227/2026-Gr C-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
45,DGGI/INT/INTL/243/2026-Gr E-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
46,DGGI/INV/REF/4/2026-Gr D-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
47,DGGI/INT/INTL/276/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
48,DGGI/INT/INTL/273/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
49,DGGI/INT/INTL/150/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
50,DGGI/INT/INTL/308/2026-Gr E-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
51,DGGI/INT/INTL/307/2026-Gr E-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
52,DGGI/INT/INTL/306/2026-Gr E-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
