sr_no,file_no,reason
119,DGGI/INT/INTL/557/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
120,DGGI/INT/INTL/573/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
121,DGGI/INT/INTL/574/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
122,DGGI/INT/INTL/578/2026-Gr E-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
123,DGGI/102/2026-Gr F(A)-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
124,DGGI/103/2026-Gr F(A)-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
125,DGGI/104/2026-Gr F(A)-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
126,DGGI/105/2026-Gr F(A)-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
127,DGGI/INT/INTL/586/2026-Gr B-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
128,DGGI/INT/INTL/611/2026-Gr A-O/o Pr. ADG-DGGI-ZU-MUMBAI,"{'message': ""Could not find the 'adjudication_formation' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
