sr_no,record_id,legacy_no,reason
38,38/GST/2025-26,38,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
39,39/GST/2025-26,39,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
40,40/GST/2025-26,40,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
41,41/GST/2025-26,41,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
42,42/GST/2025-26,42,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
43,43/GST/2025-26,43,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
44,44/GST/2025-26,44,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
45,45/GST/2025-26,45,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
46,46/GST/2025-26,46,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
47,47/GST/2025-26,47,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
48,48/GST/2025-26,48,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
49,49/GST/2025-26,49,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
53,50/GST/2025-26,53,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
50,51/GST/2025-26,50,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
51,52/GST/2025-26,51,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
52,53/GST/2025-26,52,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
54,54/GST/2025-26,54,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
55,55/GST/2025-26,55,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
56,1/GST/2026-27,56,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
57,2/GST/2026-27,57,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
58,3/GST/2026-27,58,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
59,4/GST/2026-27,59,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
60,5/GST/2026-27,60,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
61,6/GST/2026-27,61,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
62,7/GST/2026-27,62,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
63,8/GST/2026-27,63,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
64,9/GST/2026-27,64,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
65,10/GST/2026-27,65,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
66,11/GST/2026-27,66,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
67,12/GST/2026-27,67,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
68,13/GST/2026-27,68,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
69,14/GST/2026-27,69,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
70,15/GST/2026-27,70,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
71,16/GST/2026-27,71,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
72,17/GST/2026-27,72,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
73,18/GST/2026-27,73,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
74,19/GST/2026-27,74,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
75,20/GST/2026-27,75,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
76,21/GST/2026-27,76,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
77,22/GST/2026-27,77,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
78,23/GST/2026-27,78,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
79,24/GST/2026-27,79,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
80,25/GST/2026-27,80,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
81,26/GST/2026-27,81,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
82,27/GST/2026-27,82,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
83,28/GST/2026-27,83,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
84,29/GST/2026-27,84,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
85,30/GST/2026-27,85,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
86,31/GST/2026-27,86,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
87,32/GST/2026-27,87,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
88,33/GST/2026-27,88,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
89,34/GST/2026-27,89,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
90,35/GST/2026-27,90,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
91,36/GST/2026-27,91,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
92,37/GST/2026-27,92,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
93,38/GST/2026-27,93,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
94,39/GST/2026-27,94,"{'message': ""Could not find the 'legacy_non_ir_no' column of 'dggi_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
